post_id,title,category,score,num_comments,author,collected_at,title_length,engagement,comments_to_score_ratio,predicted_category,is_correct
47640728,Show HN: A game where you build a GPU,technology,922,178,Jaso1024,2026-04-06 13:16:10,37,1100,0.19284940411700974,technology,True
47652549,Iran's IRGC Publishes Satellite Imagery of OpenAI's $30B Stargate Datacenter,technology,54,22,alvivanco,2026-04-06 13:16:11,76,76,0.4,technology,True
47655058,OpenAI's fall from grace as investors race to Anthropic,technology,175,113,1vuio0pswjnm7,2026-04-06 13:16:11,55,288,0.6420454545454546,technology,True
47640380,Apple approves driver that lets Nvidia eGPUs work with Arm Macs,technology,508,231,naves,2026-04-06 13:16:11,63,739,0.4538310412573674,technology,True
47651479,From birds to brains: My path to the fusiform face area (2024),technology,36,0,everbody,2026-04-06 13:16:11,62,36,0.0,technology,True
47633396,Tell HN: Anthropic no longer allowing Claude Code subscriptions to use OpenClaw,technology,1080,819,firloop,2026-04-06 13:16:12,79,1899,0.757631822386679,technology,True
47637757,Embarrassingly simple self-distillation improves code generation,technology,643,197,Anon84,2026-04-06 13:16:12,64,840,0.3059006211180124,technology,True
47658215,The end of password pain: building frictionless authentication at the Guardian,technology,6,2,Tomte,2026-04-06 13:16:13,78,8,0.2857142857142857,technology,True
47657198,Scientists found a protein that drives brain aging – and how to stop it,technology,17,5,mikhael,2026-04-06 13:16:13,71,22,0.2777777777777778,technology,True
47655480,Make Humans Analog Again,technology,6,0,muunbo,2026-04-06 13:16:13,24,6,0.0,technology,True
47655155,'Cognitive Surrender' Is a New and Useful Term for How AI Melts Brains,technology,40,10,mikhael,2026-04-06 13:16:13,70,50,0.24390243902439024,technology,True
47647788,The threat is comfortable drift toward not understanding what you're doing,worldnews,890,586,zaikunzhang,2026-04-06 13:16:19,74,1476,0.6576879910213244,worldnews,True
47636765,Endian wars and anti-portability: this again?,worldnews,44,52,awilfox,2026-04-06 13:16:22,45,96,1.1555555555555554,technology,False
47656682,Winners of the 2026 Kokuyo Design Awards,worldnews,50,15,zdw,2026-04-06 13:16:26,40,65,0.29411764705882354,worldnews,True
47653036,Satellite firm Planet Labs to indefinitely withold Iran war imagery,worldnews,38,12,anigbrowl,2026-04-06 13:16:26,67,50,0.3076923076923077,technology,False
47596739,Mercor says it was hit by cyberattack tied to compromise LiteLLM,worldnews,151,45,jackson-mcd,2026-04-06 13:16:31,64,196,0.29605263157894735,worldnews,True
47645817,How Pope Leo is pushing back on divine justification of war,worldnews,73,40,1659447091,2026-04-06 13:16:31,59,113,0.5405405405405406,worldnews,True
47615002,Qwen3.6-Plus: Towards real world agents,worldnews,589,207,pretext,2026-04-06 13:16:31,39,796,0.35084745762711866,worldnews,True
47649904,Will there still be professional software developers?,worldnews,4,1,gradys,2026-04-06 13:16:34,53,5,0.2,worldnews,True
47650273,"Meta, Google under attack as court cases bypass 30-year-old legal shield",worldnews,17,9,1vuio0pswjnm7,2026-04-06 13:16:35,72,26,0.5,worldnews,True
47627419,The Axios supply chain attack used individually targeted social engineering,worldnews,47,11,cmitsakis,2026-04-06 13:16:36,75,58,0.22916666666666666,worldnews,True
47625311,Bun: cgroup-aware AvailableParallelism / HardwareConcurrency on Linux,worldnews,45,24,tosh,2026-04-06 13:16:38,69,69,0.5217391304347826,worldnews,True
47615756,Renewables reached nearly 50% of global electricity capacity last year,worldnews,296,148,Growtika,2026-04-06 13:16:38,70,444,0.4983164983164983,worldnews,True
47651140,Ask HN: Where are all the disruptive software that AI promised?,worldnews,16,14,p-o,2026-04-06 13:16:40,63,30,0.8235294117647058,worldnews,True
47644934,"Delve claiming that whistleblower was part of a ""targeted cyberattack""",worldnews,6,2,rrvsh,2026-04-06 13:16:40,70,8,0.2857142857142857,worldnews,True
47653816,UK intelligence censored report on global warming and homeland security,worldnews,95,53,ewidar,2026-04-06 13:16:41,71,148,0.5520833333333334,worldnews,True
47624317,New Rowhammer attacks give complete control of machines running Nvidia GPUs,worldnews,132,10,01-_-,2026-04-06 13:16:44,75,142,0.07518796992481203,worldnews,True
47617217,Show HN: I tested 15 free AI models at building real software on a $25/year VPS,worldnews,36,7,j0rg3,2026-04-06 13:16:45,79,43,0.1891891891891892,worldnews,True
47648102,Every dependency you add is a supply chain attack waiting to happen,worldnews,8,0,birdculture,2026-04-06 13:16:46,67,8,0.0,worldnews,True
47618221,The Australian government has announced gambling advertising reforms,worldnews,133,101,gostsamo,2026-04-06 13:16:46,68,234,0.753731343283582,worldnews,True
47657396,US-Iran war explained by Chinese AI animation: Legend of the Valley of Gold [video],worldnews,5,0,Eridanus2,2026-04-06 13:16:47,83,5,0.0,worldnews,True
47616157,Software never had a soul,worldnews,20,17,firloop,2026-04-06 13:16:49,25,37,0.8095238095238095,worldnews,True
47650022,Banray.eu: Raising awareness of the terrible idea that is always-on AI glasses,worldnews,35,19,ChrisArchitect,2026-04-06 13:16:49,78,54,0.5277777777777778,worldnews,True
47651502,The Therac-25 software radiation disaster,worldnews,7,2,bithavoc,2026-04-06 13:16:49,41,9,0.25,worldnews,True
47638085,I attacked myself with Google Spreadsheets (2012),worldnews,3,1,downbad_,2026-04-06 13:16:51,49,4,0.25,worldnews,True
47633734,ENiGMA½ BBS Software,worldnews,10,1,NuSkooler,2026-04-06 13:16:52,20,11,0.09090909090909091,worldnews,True
47656501,The 1987 game “The Last Ninja” was 40 kilobytes,sports,168,112,keepamovin,2026-04-06 13:16:55,47,280,0.6627218934911243,sports,True
47637377,LÖVE: 2D Game Framework for Lua,sports,337,165,cl3misch,2026-04-06 13:16:55,31,502,0.4881656804733728,sports,True
47639727,"When legal sports betting surges, so do Americans' financial problems",sports,219,143,pseudolus,2026-04-06 13:17:06,69,362,0.65,worldnews,False
47644726,"Power-washing, pool-cleaning and mowing – playing games about mundane jobs",sports,24,4,andsoitis,2026-04-06 13:17:06,74,28,0.16,sports,True
47609564,Steam on Linux Use Skyrocketed Above 5% in March,sports,781,365,hkmaxpro,2026-04-06 13:17:09,48,1146,0.46675191815856776,sports,True
47633676,"Extra usage credit for Pro, Max, and Team plans",sports,64,61,angst,2026-04-06 13:17:10,47,125,0.9384615384615385,sports,True
47641615,Sopwith – 1984 Game (2000),sports,97,42,elvis70,2026-04-06 13:17:10,26,139,0.42857142857142855,sports,True
47650234,Panorama – AI that finds your team's workflows and hidden structures,sports,6,1,bryantwolf,2026-04-06 13:17:11,68,7,0.14285714285714285,sports,True
47645609,Karpathy's knowledge base matches our Grep-is-All-You-Need paper,sports,4,0,localkin,2026-04-06 13:17:20,64,4,0.0,sports,True
47651019,PS3 emulator makes Cell CPU breakthrough that improves performance in all games,sports,8,0,gloxkiqcza,2026-04-06 13:17:23,79,8,0.0,sports,True
47642552,Nandgame – Build a Computer from Scratch,sports,7,0,Vortigaunt,2026-04-06 13:17:24,40,7,0.0,sports,True
47623053,"Show HN: Minimal Brain Teaser Web Game (Handcrafted, No AI)",sports,25,14,arttaboi,2026-04-06 13:17:26,59,39,0.5384615384615384,technology,False
47632901,Sandbox Strategy Game for AI,sports,6,0,Stefan_Golas,2026-04-06 13:17:31,28,6,0.0,sports,True
47602986,Show HN: Real-time dashboard for Claude Code agent teams,sports,76,28,simple10,2026-04-06 13:17:32,56,104,0.36363636363636365,technology,False
47656303,Case study: recovery of a corrupted 12 TB multi-device pool,science,87,40,salt4034,2026-04-06 13:17:40,59,127,0.45454545454545453,science,True
47650502,Computational Physics (2nd Edition) (2025),science,154,20,teleforce,2026-04-06 13:17:41,42,174,0.12903225806451613,science,True
47607408,Scientists Figured Out How Eels Reproduce (2022),science,118,22,thunderbong,2026-04-06 13:17:42,48,140,0.18487394957983194,science,True
47637077,Scientists mapped all the nerves of the clitoris for the first time,science,41,9,01-_-,2026-04-06 13:17:43,67,50,0.21428571428571427,science,True
47648404,My Google Workspace account suspension,science,356,211,zenincognito,2026-04-06 13:17:44,38,567,0.5910364145658263,science,True
47629485,A case study in testing with 100+ Claude agents in parallel,science,63,50,thejash,2026-04-06 13:17:48,59,113,0.78125,technology,False
47611993,VR Realizes the Cyberspace Metaphor,science,17,17,dryadin,2026-04-06 13:17:52,35,34,0.9444444444444444,science,True
47641464,Scientists observe an immune signaling complex forming inside cells,science,113,7,ohjeez,2026-04-06 13:17:53,67,120,0.06140350877192982,science,True
47604155,SpaceX files to go public,science,398,576,nutjob2,2026-04-06 13:17:59,25,974,1.443609022556391,science,True
47648226,SpaceX and OpenAI: The Mega IPO Grift [video],science,26,10,throw0101c,2026-04-06 13:18:00,45,36,0.37037037037037035,science,True
47632504,"""Cognitive surrender"" leads AI users to abandon logical thinking, research finds",science,98,42,Bender,2026-04-06 13:18:05,80,140,0.42424242424242425,science,True
47605374,Scientists crack a 20-year nuclear mystery behind the creation of gold,science,87,39,prabal97,2026-04-06 13:18:05,70,126,0.4431818181818182,science,True
47607394,SolveSpace (open source 2D/3D CAD) working on Windows 2000 (2025),science,40,6,ruevs,2026-04-06 13:18:09,65,46,0.14634146341463414,science,True
47653630,Trump Slashed Science Funding. Now the U.S. Could Face a Costly Brain Drain,science,23,1,JumpCrisscross,2026-04-06 13:18:10,75,24,0.041666666666666664,science,True
47656678,"Musk asks SpaceX IPO banks to buy Grok AI subscriptions, NYT reports",science,8,0,1vuio0pswjnm7,2026-04-06 13:18:10,68,8,0.0,science,True
47645926,The Spaceballs sequel will be released in April next year,science,8,1,WaitWaitWha,2026-04-06 13:18:11,57,9,0.1111111111111111,science,True
47645240,SpaceX Pushes Back Crucial Starship Test Launch,science,14,11,bookmtn,2026-04-06 13:18:13,47,25,0.7333333333333333,science,True
47654226,Trump proposes steep cut to NASA budget as astronauts head for the Moon,science,8,0,rbanffy,2026-04-06 13:18:18,71,8,0.0,science,True
47645696,Towards end-to-end automation of AI research,science,6,0,hardmaru,2026-04-06 13:18:19,44,6,0.0,technology,False
47655392,Show HN: I made a YouTube search form with advanced filters,entertainment,263,158,nevernothing,2026-04-06 13:18:24,59,421,0.5984848484848485,entertainment,True
47652322,Music for Programming,entertainment,238,107,merusame,2026-04-06 13:18:24,21,345,0.4476987447698745,entertainment,True
47655268,"Show HN: Modo – I built an open-source alternative to Kiro, Cursor, and Windsurf",entertainment,71,14,mohshomis,2026-04-06 13:18:25,80,85,0.19444444444444445,entertainment,True
47646504,Show HN: OsintRadar – Curated directory for osint tools,entertainment,73,9,lexalizer,2026-04-06 13:18:27,55,82,0.12162162162162163,entertainment,True
47642601,Show HN: M. C. Escher spiral in WebGL inspired by 3Blue1Brown,entertainment,166,28,laszlokorte,2026-04-06 13:18:27,61,194,0.16766467065868262,entertainment,True
47645025,Show HN: Contrapunk – Real-time counterpoint harmony from guitar input,entertainment,112,49,waveywaves,2026-04-06 13:18:28,70,161,0.4336283185840708,entertainment,True
47645432,Introduction to Computer Music (2009) [pdf],entertainment,225,78,luu,2026-04-06 13:18:29,43,303,0.34513274336283184,entertainment,True
47613118,Show HN: I built a small app for FSI German Course,entertainment,51,15,syedmsawaid,2026-04-06 13:18:30,50,66,0.28846153846153844,entertainment,True
47653471,"Musician says AI company is cloning her music, filing claims against her",entertainment,113,19,lando2319,2026-04-06 13:18:30,72,132,0.16666666666666666,entertainment,True
47655078,Show HN: Mdarena – Benchmark your Claude.md against your own PRs,entertainment,21,3,hudsongr,2026-04-06 13:18:32,64,24,0.13636363636363635,entertainment,True
47625952,Show HN: I built a frontpage for personal blogs,entertainment,770,194,ramkarthikk,2026-04-06 13:18:32,47,964,0.251621271076524,technology,False
47639303,"Show HN: I made open source, zero power PCB hackathon badges",entertainment,154,17,kaipereira,2026-04-06 13:18:34,60,171,0.10967741935483871,entertainment,True
47639779,"Show HN: sllm – Split a GPU node with other developers, unlimited tokens",entertainment,181,89,jrandolf,2026-04-06 13:18:34,72,270,0.489010989010989,technology,False
47624645,Show HN: Apfel – The free AI already on your Mac,entertainment,729,152,franze,2026-04-06 13:18:34,48,881,0.20821917808219179,entertainment,True
47639567,Show HN: TurboQuant-WASM – Google's vector quantization in the browser,entertainment,163,6,teamchong,2026-04-06 13:18:35,70,169,0.036585365853658534,entertainment,True
47633947,The FAA’s flight restriction for drones is an attempt to criminalize filming ICE,entertainment,546,181,detaro,2026-04-06 13:18:37,80,727,0.33089579524680074,entertainment,True
