post_id,title,category,score,num_comments,author,collected_at
47645696,Towards end-to-end automation of AI research,science,6,0,hardmaru,2026-04-06 13:18:19
47655392,Show HN: I made a YouTube search form with advanced filters,entertainment,263,158,nevernothing,2026-04-06 13:18:24
47652322,Music for Programming,entertainment,238,107,merusame,2026-04-06 13:18:24
47655268,"Show HN: Modo – I built an open-source alternative to Kiro, Cursor, and Windsurf",entertainment,71,14,mohshomis,2026-04-06 13:18:25
47646504,Show HN: OsintRadar – Curated directory for osint tools,entertainment,73,9,lexalizer,2026-04-06 13:18:27
47642601,Show HN: M. C. Escher spiral in WebGL inspired by 3Blue1Brown,entertainment,166,28,laszlokorte,2026-04-06 13:18:27
47645025,Show HN: Contrapunk – Real-time counterpoint harmony from guitar input,entertainment,112,49,waveywaves,2026-04-06 13:18:28
47645432,Introduction to Computer Music (2009) [pdf],entertainment,225,78,luu,2026-04-06 13:18:29
47613118,Show HN: I built a small app for FSI German Course,entertainment,51,15,syedmsawaid,2026-04-06 13:18:30
47653471,"Musician says AI company is cloning her music, filing claims against her",entertainment,113,19,lando2319,2026-04-06 13:18:30
47655078,Show HN: Mdarena – Benchmark your Claude.md against your own PRs,entertainment,21,3,hudsongr,2026-04-06 13:18:32
47625952,Show HN: I built a frontpage for personal blogs,entertainment,770,194,ramkarthikk,2026-04-06 13:18:32
47639303,"Show HN: I made open source, zero power PCB hackathon badges",entertainment,154,17,kaipereira,2026-04-06 13:18:34
47639779,"Show HN: sllm – Split a GPU node with other developers, unlimited tokens",entertainment,181,89,jrandolf,2026-04-06 13:18:34
47624645,Show HN: Apfel – The free AI already on your Mac,entertainment,729,152,franze,2026-04-06 13:18:34
47639567,Show HN: TurboQuant-WASM – Google's vector quantization in the browser,entertainment,163,6,teamchong,2026-04-06 13:18:35
47633947,The FAA’s flight restriction for drones is an attempt to criminalize filming ICE,entertainment,546,181,detaro,2026-04-06 13:18:37
